,0
1,713
2,284
3,52
4,54
5,32
6,29
7,12
8,51
9,23
10,6
11,5
12,4
13,6
14,6
15,7
16,44
17,11
18,4
19,12
20,4
21,4
22,8
23,5
24,12
25,1
26,7
27,5
28,7
29,10
30,4
31,4
32,29
33,10
34,5
35,8
36,7
37,8
38,8
39,3
40,8
41,4
42,5
43,4
44,5
45,3
46,1
47,2
48,6
49,7
50,5
51,7
52,10
53,27
54,48
55,41
56,19
57,7
58,18
59,22
60,19
61,23
62,12
63,8
64,24
65,6
66,1
67,6
68,6
69,8
70,8
71,12
72,8
73,10
74,10
75,6
76,6
77,6
78,3
79,3
80,10
81,6
82,3
83,6
84,5
85,2
86,6
87,4
88,7
89,6
90,6
91,6
92,4
93,10
94,3
95,4
96,4
97,1
98,6
99,4
100,3
101,5
102,4
103,1
104,8
105,6
106,3
107,1
108,3
109,7
110,4
111,1
112,5
113,3
114,3
115,1
116,6
117,4
118,30
119,31
120,2421
