,0
1,2011
2,6239
3,17600
4,3876
5,529
6,302
7,133
8,131
9,132
10,153
11,196
12,190
13,140
14,137
15,138
16,140
17,127
18,119
19,133
20,129
21,164
22,182
23,186
24,225
25,195
26,140
27,99
28,88
29,61
30,65
31,64
32,73
33,59
34,67
35,100
36,94
37,99
38,116
39,108
40,93
41,91
42,86
43,53
44,47
45,38
46,20
47,9
48,6
49,9
50,3
51,6
52,7
53,1
54,1
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,1268
