0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297
22624.0,91.0,189334.0,1002.0,384.0,8263.0,825.0,68.0,55.0,528.0,4737.0,86.0,6.0,3.0,4418.0,3181.0,152675.0,41165.0,8295.0,12.0,8.0,8.0,9.0,16.0,8.0,8388.0,196.0,196.0,98.0,196.0,196.0,65844.0,197.0,99.0,196.0,98.0,196.0,196.0,784.0,98.0,133.0,392.0,90.0,248.0,321.0,2569.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,8.0,4.0,3.0,2.0,1.0,3.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,34.0,34.0,14.0,1.0,5.0,1.0,1.0,1.0,1.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40215.0,91.0,128955.0,1451.0,825.0,11524.0,1070.0,66.0,183.0,2216.0,61568.0,428.0,4.0,2.0,22.0,2802.0,18.0,12321.0,12308.0,17.0,9.0,9.0,11.0,18.0,9.0,18458.0,12312.0,12312.0,6156.0,12312.0,12312.0,18328.0,8218.0,2062.0,4120.0,2060.0,4120.0,4120.0,16480.0,2060.0,2236.0,152.0,2048.0,320.0,82.0,0.0,2.0,3.0,8.0,2.0,4.0,2.0,2.0,6.0,2.0,2.0,12.0,2.0,16.0,8.0,6.0,4.0,2.0,6.0,10.0,2.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,10.0,6.0,163.0,163.0,60.0,0.0,11.0,0.0,1.0,1.0,1.0,36876.0,6146.0,6146.0,12292.0,6146.0,6146.0,6146.0,6146.0,179.0,1.0,2.0,2.0,2.0,6.0,12.0,28.0,1.0,1.0,256.0,400.0,6.0,12.0,6.0,1.0,8.0,1.0,144.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053.0,130.0,290287.0,1590.0,253.0,18268.0,1163.0,68.0,2876.0,1344.0,119005.0,999.0,3.0,0.0,16.0,0.0,22.0,3693.0,3681.0,13.0,11.0,11.0,11.0,21.0,11.0,5621.0,201.0,20.0,10.0,20.0,20.0,9.0,19.0,10.0,18.0,9.0,18.0,15.0,64.0,7.0,219.0,3798.0,0.0,7.0,0.0,0.0,55.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.0,39.0,2884.0,2759.0,1042.0,0.0,54.0,0.0,8.0,8.0,8.0,16809.0,3662.0,3662.0,7324.0,2258.0,1941.0,1941.0,1941.0,466.0,0.0,54.0,807.0,0.0,0.0,0.0,12.0,1.0,0.0,1024.0,1024.0,15.0,32.0,18.0,16.0,18.0,3662.0,0.0,1.0,9.0,4.0,116.0,5.0,46.0,1.0,1.0,1.0,27.0,2.0,6.0,1.0,24.0,1.0,1024.0,1.0,42.0,21.0,21.0,1.0,5.0,512.0,1.0,1024.0,16.0,1.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,153.0,467533.0,917.0,86.0,3202.0,874.0,16.0,90.0,1416.0,40785.0,33.0,13.0,7.0,32.0,0.0,8.0,11.0,6.0,4.0,4.0,4.0,4.0,8.0,4.0,20.0,8.0,8.0,4.0,7.0,8.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,16.0,2.0,150.0,166.0,0.0,0.0,0.0,56.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,92.0,90.0,484.0,0.0,0.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,1.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,6.0,11.0,0.0,1080.0,24.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,24.0,0.0,5.0,1.0,0.0,0.0,512.0,2.0,0.0,0.0,2.0,0.0,0.0,92.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1148.0,15.0,278.0,49.0,275.0,6.0,3.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1034.0,290.0,393472.0,1525.0,170.0,5900.0,1429.0,66.0,89.0,712.0,0.0,103.0,0.0,1.0,34.0,0.0,57.0,99.0,52.0,13.0,13.0,13.0,13.0,26.0,13.0,99.0,86.0,86.0,43.0,86.0,86.0,73.0,84.0,42.0,84.0,42.0,84.0,84.0,336.0,42.0,42.0,168.0,30.0,182.0,0.0,2240.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,89.0,89.0,60.0,1.0,28.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,936.0,536.0,0.0,0.0,0.0,5.0,30.0,0.0,2744.0,81987.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1424.0,2.0,1.0,0.0,0.0,0.0,0.0,774.0,19.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,2022.0,13.0,219.0,72.0,581.0,0.0,112.0,1.0,0.0,0.0,2.0,70.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.0,122.0,237130.0,4458.0,422.0,14834.0,3669.0,198.0,9759.0,2976.0,0.0,590.0,59.0,16.0,512.0,0.0,59.0,83.0,40.0,65.0,31.0,29.0,37.0,58.0,28.0,45.0,51.0,54.0,22.0,39.0,40.0,18.0,41.0,24.0,32.0,16.0,32.0,32.0,128.0,16.0,323.0,635.0,0.0,14.0,0.0,0.0,386.0,16.0,32.0,8.0,16.0,8.0,8.0,24.0,8.0,8.0,48.0,8.0,64.0,32.0,24.0,16.0,8.0,24.0,40.0,8.0,32.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,24.0,0.0,521.0,59.0,9803.0,9722.0,13056.0,1.0,530.0,0.0,14.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,382.0,6567.0,0.0,0.0,0.0,166.0,7.0,7.0,0.0,128.0,1.0,1.0,0.0,41.0,25.0,0.0,0.0,102231.0,11.0,10.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,37.0,16880.0,8.0,21.0,3.0,218.0,13.0,2.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3444.0,164.0,0.0,40.0,9.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,861.0,1008.0,4.0,2.0,1.0,1.0,506.0,1.0,1.0,12.0,6.0,84.0,9.0,5558.0,171.0,166.0,232.0,522.0,638.0,8.0,19320.0,4.0,446.0,2.0,2.0,1.0,110.0,9.0,90.0,41.0,32.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246.0,87.0,0.0,6748.0,961.0,25999.0,5995.0,305.0,1999.0,13096.0,69669.0,1670.0,59.0,20.0,22268.0,0.0,141.0,170.0,68.0,63.0,55.0,54.0,56.0,108.0,53.0,93.0,87.0,89.0,37.0,64.0,63.0,54.0,51.0,26.0,41.0,20.0,40.0,39.0,157.0,19.0,722.0,1377.0,0.0,243.0,24.0,0.0,624.0,13.0,8.0,2.0,4.0,2.0,2.0,6.0,2.0,2.0,12.0,2.0,16.0,8.0,6.0,4.0,2.0,6.0,10.0,2.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,0.0,973.0,37.0,2001.0,1992.0,4548.0,0.0,74.0,0.0,8.0,0.0,8.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,515.0,9.0,618.0,3915.0,0.0,2.0,36.0,313.0,1.0,1.0,0.0,4256.0,0.0,0.0,0.0,28.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,4.0,0.0,103.0,7.0,0.0,7.0,3560.0,32.0,104.0,3.0,49.0,8.0,1.0,0.0,132.0,1024.0,48.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3156.0,0.0,0.0,154.0,0.0,0.0,0.0,29117.0,0.0,11948.0,3167.0,3.0,1.0,0.0,0.0,347.0,0.0,2.0,8.0,0.0,113.0,2.0,0.0,0.0,0.0,0.0,0.0,82.0,990.0,64848.0,0.0,1040.0,6.0,0.0,0.0,112.0,9.0,81.0,41.0,32.0,23.0,1.0,8.0,12436.0,619.0,1260.0,238.0,11.0,26.0,105082.0,2670.0,528.0,26426.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4323.0,0.0,0.0,13091.0,1341.0,64139.0,10476.0,528.0,1209.0,18920.0,0.0,2654.0,50.0,25.0,14568.0,0.0,178.0,246.0,147.0,110.0,90.0,89.0,94.0,175.0,84.0,149.0,160.0,160.0,78.0,136.0,134.0,58.0,116.0,61.0,108.0,54.0,107.0,106.0,424.0,53.0,68.0,2721.0,4.0,67.0,1168.0,0.0,6551.0,12.0,20.0,5.0,10.0,5.0,5.0,15.0,5.0,5.0,30.0,5.0,40.0,20.0,15.0,10.0,5.0,15.0,25.0,5.0,20.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,0.0,123.0,31.0,1212.0,964.0,848.0,0.0,330.0,11.0,9.0,0.0,9.0,45.0,8.0,8.0,14.0,7.0,7.0,7.0,7.0,12.0,25.0,6555.0,13.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,21504.0,0.0,0.0,0.0,28.0,62.0,4.0,0.0,17024.0,1.0,0.0,3.0,0.0,63.0,0.0,0.0,0.0,7.0,1.0,8.0,1.0,0.0,2.0,1024.0,48.0,3.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1508.0,0.0,0.0,2.0,0.0,0.0,0.0,16972.0,0.0,8872.0,8.0,6.0,0.0,1.0,1.0,32.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1667.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,1031.0,0.0,0.0,0.0,5.0,26.0,104432.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,227.0,49.0,5.0,13932.0,1.0,2.0,1.0,1024.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1303.0,0.0,0.0,3157.0,598.0,29875.0,3026.0,0.0,516.0,8184.0,0.0,1284.0,24.0,20.0,440.0,0.0,57.0,87.0,56.0,32.0,23.0,28.0,31.0,56.0,28.0,163.0,66.0,66.0,34.0,60.0,62.0,36.0,56.0,30.0,52.0,26.0,52.0,38.0,152.0,19.0,26.0,1078.0,5.0,1076.0,104.0,32.0,51.0,10.0,12.0,3.0,6.0,3.0,3.0,9.0,3.0,3.0,18.0,3.0,24.0,12.0,9.0,6.0,3.0,9.0,15.0,3.0,12.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,0.0,222.0,8.0,516.0,516.0,594.0,1.0,185.0,14.0,6.0,0.0,6.0,24.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,0.0,3.0,49.0,171.0,0.0,0.0,0.0,0.0,0.0,8.0,40.0,4256.0,0.0,972.0,0.0,6.0,39.0,0.0,32.0,66453.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,51.0,1.0,0.0,0.0,16.0,3.0,33.0,0.0,13.0,0.0,2.0,0.0,20.0,1991.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,29269.0,0.0,0.0,0.0,0.0,8.0,0.0,10360.0,0.0,1196.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,5120.0,0.0,0.0,0.0,2.0,11.0,233637.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,5120.0,197.0,3149.0,353.0,23.0,999.0,1853.0,1157.0,676.0,140.0,12.0,3.0,21.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,21.0,7.0,7.0,7.0,7.0,42.0,14.0,7.0,14.0,14.0,14.0,14.0,7.0,7.0,7.0,35.0,7.0,21.0,28125.0,51.0,79.0,2.0,4.0,1.0,190.0,8.0,4.0,8.0,8.0,8.0,7.0,7.0,5.0,5.0,3.0,3.0,77.0,1024.0,14482.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33545.0,0.0,0.0,0.0,0.0,19270.0,52.0,0.0,570.0,25826.0,0.0,0.0,18.0,35.0,4639.0,0.0,112.0,156.0,120.0,78.0,0.0,51.0,77.0,102.0,51.0,65.0,124.0,124.0,62.0,124.0,124.0,72.0,150.0,88.0,124.0,62.0,124.0,0.0,0.0,0.0,64.0,0.0,10.0,5574.0,208.0,0.0,0.0,7.0,104.0,26.0,52.0,26.0,26.0,78.0,26.0,26.0,156.0,26.0,208.0,104.0,78.0,52.0,26.0,78.0,130.0,26.0,104.0,52.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,78.0,0.0,0.0,39.0,570.0,568.0,650.0,0.0,0.0,0.0,15.0,0.0,15.0,18.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,13952.0,0.0,0.0,0.0,0.0,35.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,18.0,0.0,2.0,16.0,3.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6035.0,0.0,336.0,91.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,2.0,1.0,215.0,0.0,0.0,26.0,2547.0,12780.0,2355.0,9739.0,1375.0,113.0,26.0,184.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,183.0,61.0,61.0,61.0,61.0,366.0,122.0,61.0,122.0,122.0,122.0,122.0,61.0,61.0,61.0,305.0,61.0,183.0,11332.0,715.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,2.0,24.0,135092.0,135092.0,4.0,4.0,57.0,302.0,1.0,22175.0,2.0,1.0
