note,rss,vms
Base,482020000.0,7780000000.0
Transformed,1910000000.0,9200000000.0
Pre GC,7000000000.0,53160000000.0
Post GC,7000000000.0,53160000000.0
Post train params,7000000000.0,53160000000.0
Memory,7000000000.0,53160000000.0
Post params,7000000000.0,53160000000.0
Memory,7080000000.0,53230000000.0
Memory,7110000000.0,53260000000.0
Memory,7150000000.0,53290000000.0
Memory,7200000000.0,53340000000.0
Memory,7230000000.0,53380000000.0
Memory,7270000000.0,53410000000.0
Memory,7300000000.0,53440000000.0
Memory,7340000000.0,53480000000.0
Memory,7380000000.0,53520000000.0
Memory,7410000000.0,53540000000.0
