note,rss,vms
Base,496900000.0,7780000000.0
Transformed,1920000000.0,9210000000.0
Pre GC,3080000000.0,49070000000.0
Post GC,3080000000.0,49070000000.0
Post train params,3080000000.0,49070000000.0
Memory,3080000000.0,49070000000.0
Post params,3080000000.0,49070000000.0
Memory,3680000000.0,49650000000.0
Memory,3360000000.0,49330000000.0
Memory,3430000000.0,49390000000.0
Memory,3480000000.0,49440000000.0
Memory,3590000000.0,49550000000.0
Memory,3620000000.0,49580000000.0
Memory,3640000000.0,49590000000.0
Memory,3710000000.0,49660000000.0
Memory,3720000000.0,49670000000.0
Memory,3760000000.0,49690000000.0
