note,rss,vms
Base,498520000.0,7820000000.0
Transformed,661250000.0,8140000000.000001
Post train params,661400000.0,8140000000.000001
Post params,661400000.0,8140000000.000001
Memory,1900000000.0,151250000000.0
Memory,2190000000.0,222010000000.0
Memory,2420000000.0,257490000000.0
Memory,2660000000.0,310590000000.0
Memory,2890000000.0,363680000000.0
Memory,3140000000.0,416730000000.0
Memory,3390000000.0,469840000000.0
Memory,3640000000.0,522950000000.00006
Memory,3840000000.0,576010000000.0
Memory,4040000000.0,664300000000.0
