note,rss,vms
Base,476490000.0,3260000000.0
Transformed,801610000.0,3590000000.0
Post train params,801610000.0,3590000000.0
Memory,820540000.0,3600000000.0
Post params,820540000.0,3600000000.0
Memory,1000000000.0,3780000000.0
Memory,1000000000.0,3780000000.0
Memory,1000000000.0,3780000000.0
Memory,1000000000.0,3780000000.0
Memory,1000000000.0,3780000000.0
Memory,957300000.0,3740000000.0
Memory,1000000000.0,3780000000.0
Memory,1000000000.0,3780000000.0
Memory,1000000000.0,3780000000.0
Memory,1000000000.0,3780000000.0
