note,rss,vms
Base,498590000.0,7820000000.0
Transformed,1920000000.0,9250000000.0
Post train params,1920000000.0,9250000000.0
Memory,2200000000.0,45390000000.0
Post params,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
Memory,2200000000.0,45390000000.0
