note,rss,vms
Base,513980000.0,7860000000.0
Transformed,4530000000.0,61170000000.0
Post train params,4530000000.0,61170000000.0
Memory,4530000000.0,61170000000.0
Post params,4530000000.0,61170000000.0
Memory,4600000000.0,62910000000.0
Memory,4630000000.0,63140000000.0
Memory,4830000000.0,63340000000.0
Memory,4860000000.0,63370000000.0
Memory,4830000000.0,63340000000.0
Memory,4860000000.0,63370000000.0
Memory,4840000000.0,63340000000.0
Memory,4980000000.0,63480000000.0
Memory,4950000000.0,63450000000.0
Memory,5090000000.0,63600000000.0
