note,rss,vms
Base,491000000.0,3260000000.0
Transformed,815080000.0,3580000000.0
Post train params,815080000.0,3580000000.0
Memory,859790000.0,3650000000.0
Post params,859790000.0,3650000000.0
Memory,827670000.0,3620000000.0
Memory,828810000.0,3620000000.0
Memory,829180000.0,3620000000.0
Memory,828850000.0,3620000000.0
Memory,828530000.0,3620000000.0
Memory,828360000.0,3620000000.0
Memory,828750000.0,3620000000.0
Memory,829290000.0,3620000000.0
Memory,829070000.0,3620000000.0
Memory,829130000.0,3620000000.0
