note,rss,vms
Base,492470000.0,3260000000.0
Transformed,1900000000.0,4860000000.0
Post train params,1900000000.0,4860000000.0
Memory,1910000000.0,4900000000.0
Post params,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
Memory,1910000000.0,4900000000.0
