note,rss,vms
Base,491250000.0,3260000000.0
Transformed,1850000000.0,4620000000.0
Post train params,1850000000.0,4620000000.0
Memory,1860000000.0,4650000000.0
Post params,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
Memory,1860000000.0,4650000000.0
