note,rss,vms
Base,479970000.0,16390000000.0
Transformed,2560000000.0,18470000000.0
Pre GC,12520000000.0,255260000000.0
Post GC,12520000000.0,255260000000.0
Post train params,12520000000.0,255260000000.0
Memory,12520000000.0,255260000000.0
Post params,12520000000.0,255260000000.0
Memory,12580000000.0,255310000000.0
Memory,12680000000.0,255400000000.0
Memory,12740000000.0,255450000000.0
Memory,12780000000.0,255500000000.0
Memory,12840000000.0,255550000000.0
Memory,12870000000.0,255580000000.0
Memory,12940000000.0,255650000000.0
Memory,13010000000.0,255710000000.0
Memory,13080000000.0,255780000000.0
Memory,13160000000.0,255860000000.0
