note,rss,vms
Base,498190000.0,7820000000.0
Transformed,2580000000.0,9900000000.0
Pre GC,4570000000.0,43400000000.0
Post GC,4570000000.0,43400000000.0
Post train params,4570000000.0,43400000000.0
Memory,4570000000.0,43400000000.0
Post params,4570000000.0,43400000000.0
Memory,4660000000.0,43480000000.0
Memory,4720000000.0,43530000000.0
Memory,4750000000.0,43550000000.0
Memory,4780000000.0,43580000000.0
Memory,4780000000.0,43590000000.0
Memory,4750000000.0,43550000000.0
Memory,4840000000.0,43640000000.0
Memory,4810000000.0,43610000000.0
Memory,4890000000.0,43690000000.0
Memory,4860000000.0,43660000000.0
