note,rss,vms
Base,498860000.0,7820000000.0
Transformed,741730000.0,8220000000.000001
Post train params,741730000.0,8220000000.000001
Post params,741730000.0,8220000000.000001
Memory,2109999999.9999998,134110000000.00002
Memory,2290000000.0,169550000000.0
Memory,2430000000.0,204900000000.0
Memory,2540000000.0,222680000000.0
Memory,2650000000.0,240390000000.0
Memory,2770000000.0,258110000000.0
Memory,2920000000.0,293460000000.0
Memory,3070000000.0,328870000000.0
Memory,3230000000.0,364230000000.0
Memory,3390000000.0,399650000000.0
