note,rss,vms
Base,476070000.0,3260000000.0
Transformed,695610000.0,3480000000.0
Post train params,695610000.0,3480000000.0
Memory,730520000.0,3510000000.0
Post params,730520000.0,3510000000.0
Memory,730870000.0,3510000000.0
Memory,731280000.0,3510000000.0
Memory,731280000.0,3510000000.0
Memory,731280000.0,3510000000.0
Memory,731280000.0,3510000000.0
Memory,742580000.0,3520000000.0
Memory,742580000.0,3520000000.0
Memory,742580000.0,3520000000.0
Memory,742580000.0,3520000000.0
Memory,742580000.0,3520000000.0
