note,rss,vms
Base,498610000.0,7820000000.0
Transformed,2580000000.0,9900000000.0
Post train params,2580000000.0,9900000000.0
Memory,3940000000.0,47160000000.0
Post params,3940000000.0,47160000000.0
Memory,3990000000.0,47200000000.0
Memory,4050000000.0,47260000000.0
Memory,4099999999.9999995,47300000000.0
Memory,4150000000.0000005,47360000000.0
Memory,4200000000.0,47400000000.0
Memory,4250000000.0,47450000000.0
Memory,4310000000.0,47510000000.0
Memory,4360000000.0,47560000000.0
Memory,4420000000.0,47610000000.0
Memory,4470000000.0,47650000000.0
