note,rss,vms
Base,497680000.0,7820000000.0
Transformed,4640000000.0,61280000000.0
Post train params,4640000000.0,61280000000.0
Memory,4640000000.0,61280000000.0
Post params,4640000000.0,61280000000.0
Memory,4710000000.0,63010000000.0
Memory,4990000000.0,63450000000.0
Memory,5030000000.0,63450000000.0
Memory,5100000000.0,63470000000.0
Memory,5110000000.0,63450000000.0
Memory,5150000000.0,63450000000.0
Memory,5180000000.0,63470000000.0
Memory,5240000000.0,63530000000.0
Memory,5270000000.0,63530000000.0
Memory,5400000000.0,63620000000.0
