note,rss,vms
Base,476400000.0,3260000000.0
Transformed,694890000.0,3480000000.0
Post train params,694890000.0,3480000000.0
Memory,721760000.0,3530000000.0
Post params,721760000.0,3530000000.0
Memory,704860000.0,3520000000.0
Memory,706700000.0,3520000000.0
Memory,706700000.0,3520000000.0
Memory,706700000.0,3520000000.0
Memory,706700000.0,3520000000.0
Memory,705320000.0,3520000000.0
Memory,707160000.0,3520000000.0
Memory,707160000.0,3520000000.0
Memory,707160000.0,3520000000.0
Memory,707160000.0,3520000000.0
