note,rss,vms
Base,477540000.0,3260000000.0
Transformed,1790000000.0,4770000000.0
Post train params,1790000000.0,4770000000.0
Memory,1790000000.0,4810000000.0
Post params,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
Memory,1790000000.0,4810000000.0
