note,rss,vms
Base,476140000.0,3260000000.0
Transformed,2930000000.0,5710000000.0
Post train params,2930000000.0,5710000000.0
Memory,2940000000.0,5750000000.0
Post params,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
Memory,2940000000.0,5750000000.0
