note,rss,vms
Base,498260000.0,7820000000.0
Transformed,2950000000.0,10270000000.0
Pre GC,17050000000.0,56120000000.0
Post GC,17050000000.0,56120000000.0
Post train params,17050000000.0,56120000000.0
Memory,17050000000.0,56120000000.0
Post params,17050000000.0,56120000000.0
Memory,17200000000.0,56260000000.0
Memory,17310000000.0,56350000000.0
Memory,17450000000.0,56490000000.0
Memory,17600000000.0,56630000000.0
Memory,17750000000.0,56770000000.0
Memory,17870000000.0,56880000000.0
Memory,18040000000.0,57050000000.0
Memory,18110000000.0,57110000000.0
Memory,18210000000.0,57210000000.0
Memory,18300000000.0,57290000000.0
