note,rss,vms
Base,482890000.0,7780000000.0
Transformed,4000000000.0,11300000000.0
Pre GC,6620000000.0,122260000000.0
Post GC,6620000000.0,122260000000.0
Post train params,6620000000.0,122260000000.0
Memory,6620000000.0,122260000000.0
Post params,6620000000.0,122260000000.0
Memory,6810000000.0,122450000000.0
Memory,6830000000.0,122460000000.0
Memory,6850000000.0,122480000000.0
Memory,6910000000.0,122540000000.0
Memory,6980000000.0,122610000000.0
Memory,7130000000.0,122750000000.0
Memory,7180000000.0,122800000000.0
Memory,7170000000.0,122780000000.0
Memory,3350000000.0,107430000000.0
