note,rss,vms
Base,483740000.0,7820000000.0
Transformed,1170000000.0,8670000000.0
Post train params,1170000000.0,8670000000.0
Post params,1170000000.0,8670000000.0
Memory,2620000000.0,172800000000.0
Memory,2810000000.0,173120000000.0
Memory,2940000000.0,173320000000.0
Memory,3090000000.0,173610000000.0
Memory,3190000000.0,173760000000.0
Memory,3310000000.0,174020000000.0
Memory,3390000000.0,174130000000.0
Memory,3430000000.0,174250000000.0
Memory,3490000000.0,174340000000.0
Memory,3580000000.0,174560000000.0
