note,rss,vms
Base,490100000.0,3260000000.0
Transformed,8010000000.0,10780000000.0
Post train params,8010000000.0,10780000000.0
Memory,8210000000.000001,11010000000.0
Post params,8210000000.000001,11010000000.0
Memory,10710000000.0,13510000000.0
Memory,10720000000.0,13520000000.0
Memory,11140000000.0,13940000000.0
Memory,11490000000.0,14290000000.0
Memory,11290000000.0,14090000000.0
Memory,10870000000.0,13670000000.0
Memory,10860000000.0,13670000000.0
Memory,10440000000.0,13240000000.0
Memory,10090000000.0,12890000000.0
Memory,10290000000.0,13090000000.0
