note,rss,vms
Base,498280000.0,7820000000.0
Transformed,2930000000.0,10240000000.0
Post train params,2930000000.0,10240000000.0
Memory,3670000000.0,42460000000.0
Post params,3670000000.0,42460000000.0
Memory,3680000000.0,42470000000.0
Memory,3690000000.0,42480000000.0
Memory,3690000000.0,42490000000.0
Memory,3700000000.0,42490000000.0
Memory,3710000000.0,42500000000.0
Memory,3710000000.0,42500000000.0
Memory,3720000000.0,42510000000.0
Memory,3720000000.0,42520000000.0
Memory,3730000000.0,42520000000.0
Memory,3740000000.0,42530000000.0
