note,rss,vms
Base,513730000.0,7860000000.0
Transformed,5180000000.0,61790000000.0
Post train params,5180000000.0,61790000000.0
Memory,5180000000.0,61790000000.0
Post params,5180000000.0,61790000000.0
Memory,5350000000.0,63600000000.0
Memory,5380000000.0,63800000000.0
Memory,5460000000.0,63830000000.0
Memory,5520000000.0,63830000000.0
Memory,5590000000.0,63800000000.0
Memory,5650000000.0,63800000000.0
Memory,5650000000.0,63800000000.0
Memory,5700000000.0,63830000000.0
Memory,5760000000.0,63830000000.0
Memory,5780000000.0,63800000000.0
