note,rss,vms
Base,490890000.0,3260000000.0
Transformed,8010000000.0,10770000000.0
Post train params,8010000000.0,10770000000.0
Memory,8020000000.0,10810000000.0
Post params,8020000000.0,10810000000.0
Memory,8180000000.0,10980000000.0
Memory,8189999999.999999,10980000000.0
Memory,8189999999.999999,10980000000.0
Memory,8189999999.999999,10980000000.0
Memory,8189999999.999999,10980000000.0
Memory,8189999999.999999,10980000000.0
Memory,8189999999.999999,10980000000.0
Memory,8189999999.999999,10980000000.0
Memory,8189999999.999999,10980000000.0
Memory,8189999999.999999,10980000000.0
