note,rss,vms
Base,491480000.0,3260000000.0
Transformed,9540000000.0,12500000000.0
Post train params,9540000000.0,12500000000.0
Memory,9540000000.0,12540000000.0
Post params,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
Memory,9540000000.0,12540000000.0
