note,rss,vms
Base,491340000.0,3260000000.0
Transformed,3180000000.0,5950000000.0
Post train params,3180000000.0,5950000000.0
Memory,2740000000.0,5540000000.0
Post params,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
Memory,2740000000.0,5540000000.0
